Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban,,,,,,,,,,,,
3,02KXW,1008,L4-24,VO10X0.5(B)-FALP,With Slit,150,100,2,,,,,,,,,,,,
3,02KXW,1008,L4-15,VO10X0.5(B)-FALP,With Slit,200,100,2,,,,,,,,,,,,
3,02KXU,1008,J3-24,VO6X0.5(B)-FALP,With Slit,75,100,2,,,,,,,,,,,,
3,02KXU,1008,J3-30,VO6X0.5(B)-FALP,With Slit,105,100,2,,,,,,,,,,,,
3,02KXU,1007,J5-28,VO6X0.5(B)-FALP,,130,100,2,,,,,,,,,,,,
3,02KXY,1007,M4-17,VO14X0.5(B)-FALP,,95,100,2,,,,,,,,,,,,
3,02KXU,1007,J5-22,VO6X0.5(B)-FALP,,100,100,2,,,,,,,,,,,,
3,02KXV,1007,J1-27,VO8X0.5(B)-FALP,,75,100,2,,,,,,,,,,,,
3,02KXV,1007,J1-21,VO8X0.5(B)-FALP,,45,100,2,,,,,,,,,,,,
3,02KXU,1007,J5-45,VO6X0.5(B)-FALP,,215,100,2,,,,,,,,,,,,
3,02KXW,1123,L5-29,VO10X0.5(B)-FALP,With Slit,120,100,2,,,,,,,,,,,,
3,02KXU,1123,J3-32,VO6X0.5(B)-FALP,With Slit,120,100,2,,,,,,,,,,,,
3,02KXU,1114,J3-32,VO6X0.5(B)-FALP,With Slit,120,100,2,,,,,,,,,,,,
3,01PFP,1118,A5-28,RCO5-FALP,,235,100,2,,,,,,,,,,,,
3,02KXU,1118,J2-22,VO6X0.5(B)-FALP,With Slit,310,100,2,,,,,,,,,,,,
3,02KXU,1118,J4-24,VO6X0.5(B)-FALP,,365,100,2,,,,,,,,,,,,
3,02KXV,1118,K4-13,VO8X0.5(B)-FALP,With Slit,370,100,2,,,,,,,,,,,,
3,02KXW,1118,L4-25,VO10X0.5(B)-FALP,With Slit,365,100,2,,,,,,,,,,,,
3,02KXU,1118,J3-24,VO6X0.5(B)-FALP,With Slit,75,100,2,,,,,,,,,,,,
3,01PFP,1121,A5-18,RCOT5-FALP,,185,100,2,,,,,,,,,,,,
3,02KXU,1121,J2-28,VO6X0.5(B)-FALP,With Slit,255,100,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
