Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXW,1006,K5-06,VO10X0.5(B)-FALP,,475,100,1
3,02KXW,1006,K5-07,VO10X0.5(B)-FALP,,495,100,1
3,02KYB,1101,N4-20,VO20X1(B)-FALP,WITH SLIT,150,50,1
3,02KYD,1101,N3-16,VO24X1(B)-FALP,WITH SLIT,175,50,1
3,02KXV,1101,J1-25,VO8X0.5(B)-FALP,,65,100,1
3,88980,1102,Z2-15,DFPH-RCOT13,,110,100,1
3,88985,1103,D2-02,DFPH-RCOT28,,195,50,3
3,02KXW,1103,L4-05,VO10X0.5(B)-FALP,WITH SLIT,160,100,1
3,02KXY,1103,M5-07,VO14X0.5(B)-FALP,WITH SLIT,880,50,1
3,02KY0,1103,M3-02,VO16X0.6(B)-FALP,WITH SLIT,315,50,1
3,02KYD,1103,N3-10,VO24X1(B)-FALP,WITH SLIT,135,50,1
3,02KYR,1103,Special Kanban,VO28X1(B)-FALP,WITH SLIT,165,50,1
3,02KXV,1103,Special Kanban,VO8X0.5(B)-FALP,WITH SLIT,205,30,1
3,7773,1115,Special Kanban,POX6X0.35(GR),,125,30,1
3,02KXV,2123,K2-03,VO8X0.5(B)-FALP,,320,100,1
3,17539,2123,O2-11,VS50,,125,100,1
3,8878,2123,O1-37,VS70,,260,100,1
3,02KXX,2113,L3-17,VO12X0.5(B)-FALP,,115,100,1
3,02KXU,2113,J5-24,VO6X0.5(B)-FALP,,110,100,1
3,02KXU,2113,J5-26,VO6X0.5(B)-FALP,,120,100,1
3,8877,2113,O2-54,VS100,,140,100,1
3,8878,2113,O1-12,VS70,,105,100,1
3,8878,2113,O1-09,VS70,,120,100,1
3,8878,2113,O1-15,VS70,,125,100,1
3,01PFP,VN_2119,E5-06,RCOT5-FALP,,675,100,4
3,01PFI,VN_2121,C5-15,RCOT13-FALP,,125,100,4
3,02KXU,VN_2121,J5-27,VO6X0.5(B)-FALP,,125,100,2
3,02KXV,VN_2121,J1-23,VO8X0.5(B)-FALP,,55,100,4
3,02KXW,VN_2121,K6-08,VO10X0.5(B)-FALP,,175,100,4
3,8878,VN_2121,O1-03,VS70,,75,100,4
3,8878,VN_2121,O1-21,VS70,,150,100,4
3,8878,VN_2121,O1-25,VS70,,190,100,4
3,8878,VN_2121,O1-26,VS70,,205,100,4
3,8878,VN_2121,O1-79,VS70,,535,100,4
3,17539,VN_2121,Temp. Location,VS50,,560,100,4
3,01PFI,VN_2124,C5-15,RCOT13-FALP,,125,100,4
3,01PFI,VN_2124,J5-27,VO6X0.5(B)-FALP,,125,100,1
3,8878,VN_2124,O1-03,VS70,,75,100,4
3,8878,VN_2124,Q6-14,VS70,,100,100,4
3,8878,VN_2124,O1-18,VS70,,130,100,4
3,8878,VN_2124,O1-25,VS70,,190,100,4
3,17539,VN_2124,O2-02,VS50,,65,100,4
3,17539,VN_2124,Temp. Location,VS50,,560,100,4
