Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,01PFP,3135,A6-12,RCOT5-FALP,,95,100,2
3,01PFP,3135,A6-09,RCOT5-FALP,,80,100,2
3,01PFP,3135,A5-07,RCOT5-FALP,,130,100,2
3,01PFP,3135,A6-12,RCOT5-FALP,,95,100,2
3,01PFH,3135,A2-05,RCOT10-FALP,,65,100,2
3,01PFH,3135,A2-04,RCOT10-FALP,,55,100,2
3,01PFP,3136,A6-12,RCOT5-FALP,,95,100,2
3,01PFP,3136,A6-09,RCOT5-FALP,,80,100,2
3,01PFP,3136,A5-07,RCOT5-FALP,,130,100,2
3,01PFP,3136,A6-12,RCOT5-FALP,,95,100,2
3,01PFH,3136,A2-05,RCOT10-FALP,,65,100,2
3,01PFH,3136,A2-04,RCOT10-FALP,,55,100,2
