Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,1859,5101,F5-39,HCOT13(GR),,45,100,2
3,1859,5102,F5-39,HCOT13(GR),,45,100,2
3,354,5101,F5-22,HCOT7(GR),,45,100,2
3,354,5102,F5-22,HCOT7(GR),,45,100,2
3,01LUR,5101,I3-07,NCOT10-FALP,,60,100,2
3,01LUR,5102,I3-07,NCOT10-FALP,,60,100,2
3,01LUR,5102,I3-01,NCOT10-FALP,,395,100,2
3,01LUR,5101,I3-01,NCOT10-FALP,,395,100,2
3,01LUS,5101,I4-06,NCOT13-FALP,,40,100,2
3,01LUS,5102,I4-06,NCOT13-FALP,,40,100,2
3,01LUT,5101,H2-12,NCOT5-FALP,,145,100,2
3,01LUT,5102,H2-12,NCOT5-FALP,,145,100,2
3,01MNP,5101,I1-15,NCOT7-FALP,,695,100,2
3,01MNP,5102,I1-15,NCOT7-FALP,,695,100,2
3,01MNP,5101,I1-11,NCOT7-FALP,,835,100,2
3,01MNP,5102,I1-11,NCOT7-FALP,,835,100,2
3,02KXW,5101,K6-13,VO10X0.5(B)-FALP,,195,100,2
3,02KXW,5102,K6-13,VO10X0.5(B)-FALP,,195,100,2
3,01LUX,5101,O4-39,VS1120X0.3FP,,120,100,2
3,01LUX,5102,O4-39,VS1120X0.3FP,,120,100,2
