Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,02KXW,2122,K5-20,VO10X0.5(B)-FALP,,80,100,5
3,02KXV,2122,K1-12,VO8X0.5(B)-FALP,,150,100,5
3,02KXV,2122,K1-09,VO8X0.5(B)-FALP,,200,100,5
3,17539,2122,O2-08,VS50,,85,100,5
3,17539,2122,O2-07,VS50,,110,100,5
3,17539,2122,O2-09,VS50,,115,100,5
3,17539,2122,O2-15,VS50,,130,100,5
3,17539,2122,O2-14,VS50,,155,100,5
3,17539,2122,O2-21,VS50,,190,100,5
3,17539,2122,O2-22,VS50,,210,100,5
3,17539,2122,O2-29,VS50,,230,100,5
3,17539,2122,O2-33,VS50,,325,100,5
3,17539,2122,O2-35,VS50,,360,100,5
3,08878,2122,O1-21,VS70,,150,100,5
3,08878,2122,O1-25,VS70,,190,100,5
