Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban,,,,,,,,,,,,
3,01LUR,5121,I2-05,NCOT10-FALP,,100,100,2,,,,,,,,,,,,
3,01LUR,5121,I2-15,NCOT10-FALP,,245,100,2,,,,,,,,,,,,
3,01LUT,5121,H3-06,NCOT5-FALP,,45,100,2,,,,,,,,,,,,
3,01LUT,5121,H3-25,NCOT5-FALP,,300,100,2,,,,,,,,,,,,
3,01LUT,5121,H3-08,NCOT5-FALP,,55,100,2,,,,,,,,,,,,
3,01LUT,5121,H3-05,NCOT5-FALP,,90,100,2,,,,,,,,,,,,
3,01LUT,5121,H3-17,NCOT5-FALP,,120,100,2,,,,,,,,,,,,
3,01LV3,5121,E6-71,VS50X0.3FP,,160,100,2,,,,,,,,,,,,
3,01LV5,5121,E6-36,VS70X0.3FP,,50,100,2,,,,,,,,,,,,
3,01LV5,5121,E6-75,VS70X0.3FP,,60,100,2,,,,,,,,,,,,
3,01LV5,5121,E6-39,VS70X0.3FP,,80,100,2,,,,,,,,,,,,
3,01LV5,5121,E6-41,VS70X0.3FP,,90,100,2,,,,,,,,,,,,
3,01LV5,5121,E6-76,VS70X0.3FP,,280,100,2,,,,,,,,,,,,
3,01MNP,5121,HI-13,NCOT7-FALP,,90,100,2,,,,,,,,,,,,
3,02KXU,5121,J5-30,VO6X0.5(B)-FALP,,140,100,2,,,,,,,,,,,,
3,02KXU,5121,J5-19,VO6X0.5(B)-FALP,,490,100,2,,,,,,,,,,,,
3,02KXV,5121,J1-25,VO8X0.5(B)-FALP,,65,100,2,,,,,,,,,,,,
3,02KXV,5121,K1-10,VO8X0.5(B)-FALP,,140,100,2,,,,,,,,,,,,
3,02KXV,5121,K1-24,VO8X0.5(B)-FALP,,215,100,2,,,,,,,,,,,,
3,02KXX,5121,L3-20,VO12X0.5(B)-FALP,,130,100,2,,,,,,,,,,,,
3,23270,5121,F4-01,HCOT5(GR),,35,100,2,,,,,,,,,,,,
3,23270,5121,F4-06,HCOT5(GR),,75,100,2,,,,,,,,,,,,
3,23270,5121,F4-09,HCOT5(GR),,130,100,2,,,,,,,,,,,,
3,23270,5121,F4-25,HCOT5(GR),,340,100,2,,,,,,,,,,,,
3,33964,5121,TEMPORARY LOCATION,HPES40X2.0,,70,100,2,,,,,,,,,,,,
3,38918,5121,E2-16,VO8X0.5(Y)WKPH,,45,100,2,,,,,,,,,,,,
3,38918,5121,E2-19,VO8X0.5(Y)WKPH,,70,100,2,,,,,,,,,,,,
