Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,02KXU,2120,J5-11,VO6X0.5(B)-FALP,,85,100,5
3,02KXU,2120,J5-22,VO6X0.5(B)-FALP,,100,100,5
3,02KXV,2120,J1-29,VO8X0.5(B)-FALP,,85,100,5
3,02KXV,2120,J1-31,VO8X0.5(B)-FALP,,95,100,5
3,02KXV,2120,K1-23,VO8X0.5(B)-FALP,,210,100,5
3,02KY5,2120,N4-25,VO8X1(B)-FALP,,165,100,5
3,02KY5,2120,N4-03,VO8X1(B)-FALP,,180,100,5
3,02KXY,2119,M6-04,VO14X0.5(B)-FALP,,75,100,5
3,02KXU,2119,J5-08,VO6X0.5(B)-FALP,,70,100,5
3,02KXU,2119,J5-43,VO6X0.5(B)-FALP,,205,100,5
3,02KY5,2119,N4-24,VO8X1(B)-FALP,,145,100,5
3,02KY5,2119,N4-01,VO8X1(B)-FALP,,155,100,5
3,02KXW,2111,K6-09,VO10X0.5(B)-FALP,,180,100,5
3,02KXY,2111,M6-07,VO14X0.5(B)-FALP,,115,100,5
3,02KXU,2111,J4-06,VO6X0.5(B)-FALP,,55,100,5
3,02KXU,2111,J5-11,VO6X0.5(B)-FALP,,85,100,5
3,02KXU,2111,J4-18,VO6X0.5(B)-FALP,,330,100,5
3,02KXV,2111,J3-31,VO8X0.5(B)-FALP,,95,100,5
3,02KXV,2111,K1-04,VO8X0.5(B)-FALP,,115,100,5
3,02KXV,2112,K1-20,VO8X0.5(B)-FALP,,185,100,5
3,8877,2111,O2-45,VS100,,60,100,5
3,8877,2111,O2-61,VS100,,335,100,5
3,17539,2111,O2-27,VS50,,220,100,5
3,8878,2111,O1-14,VS70,,115,100,5
3,8878,2111,O1-09,VS70,,120,100,5
3,8878,2111,O1-30,VS70,,200,100,5
3,8878,2111,O1-31,VS70,,220,100,5
3,8878,2111,O1-40,VS70,,335,100,5
3,01PFH,2112,A2-31,RCOT10-FALP,,200,100,5
3,02KXW,2112,K5-22,VO10X0.5(B)-FALP,,90,100,5
3,02KXX,2112,L3-12,VO12X0.5(B)-FALP,,90,100,5
3,02KYB,2112,N4-19,VO20X1(B)-FALP,With Slit,90,100,5
3,02KXU,2112,J5-31,VO6X0.5(B)-FALP,,145,100,5
3,02KXU,2112,J5-36,VO6X0.5(B)-FALP,,170,100,5
3,02KXU,2112,J4-04,VO6X0.5(B)-FALP,,235,100,5
3,02KXV,2112,K1-23,VO8X0.5(B)-FALP,,210,100,5
3,8877,2112,O2-48,VS100,,130,100,5
3,8878,2112,O1-05,VS70,,85,100,5
3,8878,2112,O1-21,VS70,,150,100,5
3,8878,2112,O1-29,VS70,,225,100,5
3,8878,2112,O1-38,VS70,,370,100,5
3,8877,2112,O2-45,VS100,,60,100,5
3,8877,2113,O2-45,VS100,,60,100,5
3,02KXV,2113,K1-20,VO8X0.5(B)-FALP,,185,100,5
3,01PFH,2113,A2-31,RCOT10-FALP,,200,100,5
3,02KXW,2113,K5-22,VO10X0.5(B)-FALP,,90,100,5
3,02KXX,2113,L3-12,VO12X0.5(B)-FALP,,90,100,5
3,02KYB,2113,N4-19,VO20X1(B)-FALP,With Slit,90,100,5
3,02KXU,2113,J5-31,VO6X0.5(B)-FALP,,145,100,5
3,02KXU,2113,J5-36,VO6X0.5(B)-FALP,,170,100,5
3,02KXU,2113,J4-04,VO6X0.5(B)-FALP,,235,100,5
3,02KXV,2113,K1-23,VO8X0.5(B)-FALP,,210,100,5
3,8877,2113,O2-48,VS100,,130,100,5
3,8878,2113,O1-05,VS70,,85,100,5
3,8878,2113,O1-21,VS70,,150,100,5
3,8878,2113,O1-29,VS70,,225,100,5
3,8878,2113,O1-38,VS70,,370,100,5
3,8877,2113,O2-45,VS100,,60,100,5
